TEMPERATURA_PROMEDIO;HUMEDAD_RELATIVA_PROMEDIO;PRECIPITACION
1.23;99.94;12.73
2.53;94.53;5.71
3.1;91.41;4.39
3.05;85.55;0.82
3.49;84.13;4.78
2.53;97;8.11
1.37;99.86;6.82
1.14;99.53;9.45
1.7;96.36;8.41
2.16;92.04;14.52
2.91;90.77;2.86
2.05;97.06;1.21
2.08;98.54;11.59
2.45;99.39;8.06
2.75;99.07;1.73
3.22;97.4;4.52
3.7;93.72;4.76
2.9;98.8;7.38
3.04;98.02;3.2
3.3;94.21;5.37
3.8;89.46;2.87
3.73;89.31;16.59
2.98;98.58;5.08
2.8;98.49;12.38
2.64;99.68;8.43
1.65;99.83;9.42
2.36;97.26;8.45
1.72;99.8;7.97
1.83;97.87;6.63
1.51;95.77;11.25
1.78;94.12;5.78
2.02;89.57;0.56
1.26;87.65;0.05
1.35;94.12;3.6
1.39;97.18;3.06
2.84;93.9;11.15
2.85;94.18;10.8
1.62;99.62;5.37
1.75;99.16;5
2.64;99.02;6.43
4.04;93.29;0.58
2.96;98.83;8.36
2.72;94.91;1.92
4.7;83.04;2.99
4.67;81.19;2.69
5.23;78.48;0.19
4.54;81.86;1.73
4.27;85.89;0.08
4.86;79.04;0.32
3.48;96.21;5.7
3.15;97.59;1.46
2.2;99.38;7.07
2.35;99.41;6.07
3.21;97.64;3.86
2.58;99.02;7.21
2.63;96.61;6.6
2.58;99.01;10.05
2.29;99.71;5.08
3.91;91.33;2.58
3.74;87.1;1.05
4.6;79.73;0.12
4.41;79.74;0.02
4.7;76.88;0.32
3.7;88.75;5.98
2.95;96.08;8.76
2.64;98.87;7.89
2.51;96.98;3.66
3.3;96.59;0.71
2.89;98.09;8.53
3.97;91.77;2.53
4.66;85.87;4.35
3.86;90.31;2.92
4.93;79.52;0.95
4.07;87.21;1.63
3.55;90.78;5.51
2.63;97.34;3.52
2.07;98.74;2.07
3.65;89.35;1.56
3.37;94.35;5.46
1.85;99.23;9.35
2.75;97.41;7.92
3.89;88.95;0.26
3.69;94.45;0.88
2.95;95.79;2.96
2.24;96.19;7.11
2.23;97.54;5.75
3.22;89.03;3.59
3.5;93.25;2.43
3.19;91.61;1.27
2.83;94.23;0.02
