FECHA_REGISTRO;TEMPERATURA_PROMEDIO;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;HUMEDAD_RELATIVA_PROMEDIO;HUMEDAD_RELATIVA_MINIMA;HUMEDAD_RELATIVA_MAXIMA;PRECIPITACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ESTACION;MARCA;MODELO;FECHA_CORTE
20240917;5.5;1.4;11.8;62.52;39.3;85.6;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240918;5.77;1.3;13.4;65.96;34.4;87.9;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240919;5.91;2.8;14.7;56.84;29.8;77.8;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240920;5.65;1.7;12.5;45.06;20.6;72.1;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240921;4.25;0;9.4;50.85;33.1;76.8;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240922;3.48;0.8;7.3;66.42;44.9;82.6;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240923;4.68;1.1;10.9;55.89;34;85.4;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240924;5.21;2.1;12.9;58.74;25.4;88.1;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240925;4.12;0;13.8;78.71;29;99.1;2.4;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240926;4.68;0.6;11.9;71.18;31;100;0.49;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240927;2.68;0;7;94.5;67.6;100;1.46;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240928;2.25;-0.1;6.7;96.77;61.4;100;4.34;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240929;4.25;0.2;9.8;75.08;42.2;100;0.02;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20240930;3.94;-0.2;11.5;73.35;37.2;100;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241001;4.43;0.7;10.7;69.68;38.2;100;0.1;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241002;4.65;0.8;12.5;69.43;28;100;2.69;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241003;3.62;0.4;10.5;79.17;36.5;100;1.1;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241004;4.52;0.6;10.9;64.07;37.2;100;5.59;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241005;2.66;0.2;4.8;74.24;58;98.7;0.68;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241006;3.42;-0.2;9.2;67.97;46.7;98.5;1.46;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241007;3.8;0.4;12.2;76.67;38.9;100;1.97;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241008;3.84;-0.2;11.3;82.32;41.7;100;1.67;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241009;3.87;0.7;11.2;87.33;47.6;100;2.82;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241010;3.57;1.2;13;91.9;51;100;0.44;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241011;3.5;-0.1;11.9;83.92;38.4;100;1.11;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241012;1.49;-0.1;8.8;96.86;68.9;100;18.97;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241013;3.02;-0.2;8.9;85.88;51;100;12.44;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241014;2.62;0.6;6.1;84.15;69;100;0.41;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241015;3.67;0.5;9.4;78.75;51.6;100;0.66;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241016;4.15;0.5;11.8;74.28;35.4;100;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241017;4.29;0.1;12.1;77.16;40.2;100;19.18;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241018;3.77;0;12.7;83.07;43.6;100;5.71;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241019;5.17;1.5;11.8;60.65;25.8;98.8;6.41;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241020;3.52;-3;12;68.24;19.3;100;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241021;3.36;-0.7;10.7;82.41;51.4;100;0.08;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241022;4.66;0.3;13;74.02;38.8;99.4;1.92;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241023;3.42;0.2;12.6;90.7;55.9;100;1.65;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241024;5.37;1;14.1;70.86;28;100;0.05;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241025;5.57;1.2;15.6;68.99;32;94.6;1.96;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241026;4.74;2;13.3;80.21;49.1;98.6;1.38;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241027;5.15;1.1;13.2;79.71;43.5;99.8;0.36;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241028;5.29;1.9;12.1;77.66;53.6;100;0.61;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241029;5.02;1.5;12.2;71.12;43.2;98.2;0.08;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241030;5.74;1.9;16.7;69.19;31.5;100;1.17;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241031;4.11;1.5;13.2;89.54;40.7;100;0.51;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241101;4.44;0.2;12.9;80.43;37.9;100;1.22;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241102;2.8;0;11.4;93.86;53.5;100;7.74;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241103;2.38;-0.4;9.5;91.67;52;100;1.39;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241104;3.02;0;10.5;86.16;56.5;100;14.72;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241105;3.97;0.9;12.2;88.55;54.1;100;11.24;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241106;2.3;0;6.4;98.44;83.1;100;-999;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241107;3.58;0.4;11.4;82.47;52.3;100;9.3;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241108;2.33;-1.4;8.8;94.22;65;100;15.83;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241109;2.23;0;7.2;97.27;80.7;100;9.69;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241110;2.88;-0.3;12.3;92.46;48.4;100;9.49;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241111;3.33;-1.2;10.7;80.54;55.3;100;0.14;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241112;2.45;-0.1;6.4;78.98;66.1;96.9;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241113;2.87;0.3;8.5;82.7;64.2;99.3;0.78;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241114;2.82;0.2;10.1;84.12;53.2;99.9;0.94;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241115;3.89;0.1;10.5;82.31;58.5;100;0.2;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241116;3.37;-0.7;12.2;71.61;46.9;98.2;0.2;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241117;2.92;-1.7;12.5;62.12;40.2;86.8;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241118;4.38;-1.6;14.8;61.19;12.2;90.6;0;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241119;4.97;0.1;14.2;58.95;22.2;85.8;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241120;4.92;-0.9;16.4;59.62;22.1;100;0.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241121;1.1;-0.3;3.3;99.92;94.9;100;9.81;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241122;2.8;0.5;8.7;98.66;83;100;4.59;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241123;3.63;0;11.8;88.94;56.7;100;5.59;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241124;2.55;0.5;7.5;99.28;85.3;100;10.85;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241125;2.54;0.7;5.6;99.93;97;100;5.34;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241126;3.42;1.6;8.6;95.92;71.2;100;3.52;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241127;3.7;0.9;12.1;92.18;57;100;4.11;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241128;3.43;0.3;10.9;93.07;62.4;100;5.85;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241129;3.19;0.7;9.7;96.17;70.6;100;2.31;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241130;3.96;1.4;9.8;90.46;64;100;1.38;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241201;3.96;0.6;11.3;87.74;52.9;100;4.18;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241202;3.81;0;10.8;87.26;67.2;100;4.96;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241203;2.8;0.2;10.1;95.67;72.2;100;9.15;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241204;2.59;1.3;6.1;99.7;87.9;100;5.17;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241205;3.51;0.7;10;96.87;67.2;100;0.87;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241206;3.92;-0.1;10.4;84.64;52.8;100;0.14;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241207;2.35;0.1;8.9;98.95;71.3;100;11.14;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241208;4.17;1.4;9.7;89.53;65.3;100;2.98;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241209;4.71;2.1;9.9;86.52;61.6;100;3.25;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241210;5.5;2.3;12.4;78.76;55.5;100;3.32;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241211;3.4;-0.1;9.3;94.67;71;100;3.08;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241212;2.81;0.9;7.4;97.3;74;100;7.82;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241213;2.53;0;9.2;99.2;86.9;100;6.77;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241214;2.17;0;5.3;99.87;95.8;100;6.58;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241215;4.02;0.6;10.1;94.84;73.3;100;1.09;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241216;4.78;1.1;13.3;82.92;38.5;100;0.08;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241217;4.56;0.8;12.1;78.46;41.6;100;8.28;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241218;3.57;0.5;12.3;89.48;55.5;100;23.07;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241219;3.69;-0.1;11.2;88.62;57.4;100;1.09;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241220;2.5;0.1;7.8;95.67;79;100;4.61;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241221;4.13;1.1;12.4;84.88;51.9;100;5.93;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241222;4.79;1;11;82.24;56;100;2.65;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241223;3.3;0.9;11.9;96.65;66.4;100;3.16;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241224;3.37;0.5;10.3;95.59;61.1;100;0.43;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241225;4.64;1.5;11.4;80.52;42;100;0.17;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241226;3.69;0.9;10.2;90.64;51;100;0.92;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241227;4.15;1;12.3;91.56;41.9;100;0.39;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241228;3.92;0.5;11.1;90.59;46.6;100;0.26;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241229;3.84;0.7;11.3;80.4;36.8;100;0.07;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241230;3.16;0.1;9.8;88.07;40.4;100;3.3;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20241231;1.65;-0.8;7.9;98.46;71.5;100;1.9;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250101;1.38;-0.7;9.2;97.59;77.2;100;9.15;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250102;0.59;-0.8;4.9;99.65;86.4;100;19.52;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250103;0.79;-1.1;9.1;99.39;70.1;100;15.64;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250104;1.6;-0.4;7.4;95.25;71.2;100;7.91;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250105;2.97;-0.4;11;91.63;65.1;100;5.66;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250106;3.4;1;9.8;97.59;74.1;100;4.69;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250107;2.36;0.7;8.6;98.16;79;100;2.69;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250108;2.2;0.2;4.4;99.84;94.8;100;8.98;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250109;2.55;-1.5;7.8;89.31;58.9;100;1.16;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250110;4.06;-1.7;11.3;79.88;41.2;100;1.67;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250111;4.42;0.4;11.2;87.41;53.1;100;1.17;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250112;3.71;1.8;9.8;96.95;72.3;100;0.17;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250113;3.21;0.9;7.8;95.84;74.1;100;5.95;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250114;2.78;0.8;10.1;98.12;74.8;100;1.39;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250115;2.56;-0.2;10.3;95.33;66.7;100;1.7;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250116;2.14;-2.6;9.5;86.28;55.6;100;0.61;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250117;3.27;-1.3;9.8;65.01;17.3;100;0.36;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250118;2.17;-0.3;11;91.66;57.4;100;1.67;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250119;2.98;0.1;10.2;91.2;62.4;100;4.71;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250120;2.61;0.2;7;96.44;65.3;100;0.51;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250121;1.29;-1.3;6.1;99.03;83.9;100;2.74;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250122;1.1;-0.5;5.7;99.88;91.7;100;5.05;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250123;1.12;-1.9;8;98.56;76.2;100;7.28;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250124;2.22;-0.6;9.1;95.27;66.8;100;15.03;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250125;3.48;0.7;11;84.76;51;100;2.41;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250126;4.4;0.9;11.1;82.51;49.3;100;0.14;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250127;4.12;1;11.5;91.3;59.2;100;3.06;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250128;3.16;0.8;8.9;92.72;69.2;100;3.82;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250129;2.71;1;6.9;96.41;74.4;100;3.21;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250130;4.32;1;12.1;77.54;47.1;100;0.02;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250131;3.36;1.1;12;95;64.6;100;6.9;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250201;2.19;0;4.4;99.05;87.5;100;11.12;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250202;3.38;1.3;8.6;96.26;72;100;0.53;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250203;3.06;-0.1;10.6;91.7;50.8;100;5.59;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250204;2.35;-0.1;8.9;95.91;77.9;100;7.11;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250205;1.23;-0.1;5.6;99.94;94.3;100;12.73;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250206;2.53;0;9.3;94.53;67.1;100;5.71;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250207;3.1;0.6;9.2;91.41;63.1;100;4.39;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250208;3.05;-0.6;10.2;85.55;61.3;100;0.82;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250209;3.49;0.1;10.3;84.13;54.5;100;4.78;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
20250210;2.53;0;9.5;97;71.1;100;8.11;ANCASH;HUARAZ;INDEPENDENCIA;20105;COJ-PAL-EMA-3;Campbell Scientific ;ClimaVUE50;20250506
